protein_id	suprfam_id	description	Evals
Eucgr.E02282.1.p	0045974,0046888,0053686,0047132	0045974["Winged helix" DNA-binding domain]; 0046888[Toll/Interleukin receptor TIR domain]; 0053686[P-loop containing nucleoside triphosphate hydrolases]; 0047132[L domain-like]	0045974[7.62e-16]; 0046888[5.36e-07]; 0053686[4.82e-60]; 0047132[0.00068]
Eucgr.E02289.1.p		-	-
Eucgr.E02314.1.p	0045974,0046888,0047619,0053686	0045974["Winged helix" DNA-binding domain]; 0046888[Toll/Interleukin receptor TIR domain]; 0047619[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0045974[7.07e-15]; 0046888[2.49e-21]; 0047619[2.27e-35]; 0053686[6.32e-59]
Eucgr.E02320.1.p		-	-
Eucgr.E02325.1.p	0039367	0039367[Aquaporin-like]	0039367[5.36e-71]
Eucgr.E02331.1.p		-	-
Eucgr.E02337.1.p		-	-
Eucgr.E02363.1.p	0049243	0049243[PCD-like]	0049243[6.02e-28]
Eucgr.E02363.2.p	0049243	0049243[PCD-like]	0049243[1.83e-28]
Eucgr.E02363.3.p	0049243	0049243[PCD-like]	0049243[1.83e-28]
Eucgr.E02363.4.p	0049243	0049243[PCD-like]	0049243[7.46e-28]
Eucgr.E02371.1.p	0041927	0041927[Protein kinase-like (PK-like)]	0041927[2.35e-34]
Eucgr.E02376.1.p	0046209	0046209[Cysteine proteinases]	0046209[4.47e-107]
Eucgr.E02380.1.p		-	-
Eucgr.E02380.2.p		-	-
Eucgr.E02387.1.p		-	-
Eucgr.E02395.1.p		-	-
Eucgr.E02421.1.p		-	-
Eucgr.E02428.1.p		-	-
Eucgr.E02443.1.p	0038477	0038477[Protein kinase-like (PK-like)]	0038477[1.62e-62]
Eucgr.E02448.1.p	0038477	0038477[Protein kinase-like (PK-like)]	0038477[1.35e-78]
Eucgr.E02448.2.p	0038477	0038477[Protein kinase-like (PK-like)]	0038477[7.82e-79]
Eucgr.E02460.1.p	0050397,0041848	0050397[L domain-like]; 0041848[L domain-like]	0050397[4.82e-08]; 0041848[1.58e-52]
Eucgr.E02463.1.p	0053562	0053562[Myosin rod fragments]	0053562[0.00785]
Eucgr.E02467.1.p	0054423,0037738	0054423[F-box domain]; 0037738[RNI-like]	0054423[9.81e-12]; 0037738[1.51e-20]
Eucgr.E02473.1.p	0035157	0035157[Protein kinase-like (PK-like)]	0035157[2.53e-77]
Eucgr.E02478.1.p	0052242,0054424	0052242[CCCH zinc finger]; 0054424[WD40 repeat-like]	0052242[3.66e-07]; 0054424[3.66e-47]
Eucgr.E02482.1.p	0046394	0046394[Outer arm dynein light chain 1]	0046394[1.57e-26]
Eucgr.E02482.2.p	0046394	0046394[Outer arm dynein light chain 1]	0046394[1.57e-26]
Eucgr.E02482.3.p	0046394	0046394[Outer arm dynein light chain 1]	0046394[1.57e-26]
Eucgr.E02482.4.p	0046394	0046394[Outer arm dynein light chain 1]	0046394[1.57e-26]
Eucgr.E02482.5.p	0046394	0046394[Outer arm dynein light chain 1]	0046394[1.57e-26]
Eucgr.E02482.6.p	0046394	0046394[Outer arm dynein light chain 1]	0046394[1.44e-26]
Eucgr.E02492.1.p	0043785	0043785[Glycolipid transfer protein, GLTP]	0043785[2.09e-44]
Eucgr.E02499.1.p	0049131	0049131[Typo IV secretion system protein TraC]	0049131[0.00484]
Eucgr.E02519.1.p	0035203	0035203[CRAL/TRIO domain]	0035203[0.00051]
Eucgr.E02523.1.p	0048505	0048505[L domain-like]	0048505[2.72e-23]
Eucgr.E02530.1.p	0052851	0052851[Cytidine deaminase-like]	0052851[1.91e-20]
Eucgr.E02530.2.p	0052851	0052851[Cytidine deaminase-like]	0052851[1.87e-17]
Eucgr.E02566.1.p		-	-
Eucgr.E02566.2.p		-	-
Eucgr.E02588.1.p	0046888,0053686,0048505	0046888[Toll/Interleukin receptor TIR domain]; 0053686[P-loop containing nucleoside triphosphate hydrolases]; 0048505[L domain-like]	0046888[1.44e-38]; 0053686[5.67e-60]; 0048505[1.02e-27]
Eucgr.E02595.1.p	0046888	0046888[Toll/Interleukin receptor TIR domain]	0046888[1.96e-27]
Eucgr.E02597.1.p		-	-
Eucgr.E02609.1.p	0052629	0052629[ClpP/crotonase]	0052629[1.53e-27]
Eucgr.E02644.1.p	0047619	0047619[L domain-like]	0047619[1.26e-09]
Eucgr.E02649.1.p	0045974,0046888,0047619,0053686	0045974["Winged helix" DNA-binding domain]; 0046888[Toll/Interleukin receptor TIR domain]; 0047619[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0045974[7.34e-15]; 0046888[6.67e-41]; 0047619[5.78e-40]; 0053686[1.89e-56]
Eucgr.E02652.1.p	0038039	0038039[DNA-binding domain]	0038039[7.19e-24]
Eucgr.E02665.1.p	0039372	0039372[EF-hand]	0039372[2.88e-10]
Eucgr.E02693.1.p		-	-
Eucgr.E02712.1.p		-	-
Eucgr.E02728.1.p	0053371	0053371[Cysteine proteinases]	0053371[1.49e-98]
Eucgr.E02742.1.p	0048956	0048956[P-loop containing nucleoside triphosphate hydrolases]	0048956[3.09e-62]
Eucgr.E02742.2.p	0048956	0048956[P-loop containing nucleoside triphosphate hydrolases]	0048956[6.83e-60]
Eucgr.E02751.1.p	0037812,0046209,0044554	0037812[Granulin repeat]; 0046209[Cysteine proteinases]; 0044554[Formin homology 2 domain (FH2 domain)]	0037812[9.81e-10]; 0046209[3.39e-100]; 0044554[6.28e-06]
Eucgr.E02751.2.p	0037812,0046209,0044554	0037812[Granulin repeat]; 0046209[Cysteine proteinases]; 0044554[Formin homology 2 domain (FH2 domain)]	0037812[9.81e-10]; 0046209[1.42e-99]; 0044554[6.28e-06]
Eucgr.E02754.1.p	0047429	0047429[Homeodomain-like]	0047429[1.11e-13]
Eucgr.E02762.1.p		-	-
Eucgr.E02762.2.p		-	-
Eucgr.E02762.3.p		-	-
Eucgr.E02762.4.p		-	-
Eucgr.E02774.1.p		-	-
Eucgr.E02782.1.p		-	-
Eucgr.E02785.1.p	0043042,0050025	0043042[NAD(P)-binding Rossmann-fold domains]; 0050025[Galactose-binding domain-like]	0043042[1.12e-30]; 0050025[5.1e-31]
Eucgr.E02785.2.p	0043042,0050025	0043042[NAD(P)-binding Rossmann-fold domains]; 0050025[Galactose-binding domain-like]	0043042[1.12e-30]; 0050025[5.1e-31]
Eucgr.E02785.3.p	0050025,0043041	0050025[Galactose-binding domain-like]; 0043041[NAD(P)-binding Rossmann-fold domains]	0050025[3.49e-31]; 0043041[3.49e-19]
Eucgr.E02785.4.p	0043042,0050025	0043042[NAD(P)-binding Rossmann-fold domains]; 0050025[Galactose-binding domain-like]	0043042[1.79e-14]; 0050025[2.81e-31]
Eucgr.E02796.1.p		-	-
Eucgr.E02798.1.p	0045889	0045889[Homeodomain-like]	0045889[4.6e-19]
Eucgr.E02802.1.p		-	-
Eucgr.E02826.1.p	0052242,0048349	0052242[CCCH zinc finger]; 0048349[WD40 repeat-like]	0052242[2.62e-07]; 0048349[1.04e-42]
Eucgr.E02828.1.p	0052242,0054424	0052242[CCCH zinc finger]; 0054424[WD40 repeat-like]	0052242[2.49e-07]; 0054424[2.66e-43]
Eucgr.E02833.1.p	0054424	0054424[WD40 repeat-like]	0054424[1.05e-19]
Eucgr.E02835.1.p	0052242,0054424	0052242[CCCH zinc finger]; 0054424[WD40 repeat-like]	0052242[2.75e-07]; 0054424[5.4e-49]
Eucgr.E02863.1.p	0041235	0041235[SRF-like]	0041235[1.18e-32]
Eucgr.E02863.2.p	0041235	0041235[SRF-like]	0041235[1.18e-32]
Eucgr.E02863.3.p	0041235	0041235[SRF-like]	0041235[1.18e-32]
Eucgr.E02881.1.p	0047027	0047027[Clavaminate synthase-like]	0047027[1.99e-101]
Eucgr.E02892.1.p	0047027	0047027[Clavaminate synthase-like]	0047027[3.5e-101]
Eucgr.E02899.1.p	0047027	0047027[Clavaminate synthase-like]	0047027[6.87e-103]
Eucgr.E02903.1.p	0047027	0047027[Clavaminate synthase-like]	0047027[1.03e-102]
Eucgr.E02918.1.p		-	-
Eucgr.E02925.1.p		-	-
Eucgr.E02934.1.p		-	-
Eucgr.E02947.1.p		-	-
Eucgr.E02978.1.p	0053693	0053693[UDP-Glycosyltransferase/glycogen phosphorylase]	0053693[1.21e-59]
Eucgr.E02992.1.p	0038477	0038477[Protein kinase-like (PK-like)]	0038477[2e-81]
Eucgr.E03005.1.p	0038477	0038477[Protein kinase-like (PK-like)]	0038477[1.08e-70]
Eucgr.E03019.1.p	0037803	0037803[Protein kinase-like (PK-like)]	0037803[1.08e-60]
Eucgr.E03032.1.p		-	-
Eucgr.E03046.1.p	0035371	0035371[Protein kinase-like (PK-like)]	0035371[1.78e-79]
Eucgr.E03056.1.p	0038477	0038477[Protein kinase-like (PK-like)]	0038477[1.89e-81]
Eucgr.E03069.1.p	0048505,0047665	0048505[L domain-like]; 0047665[P-loop containing nucleoside triphosphate hydrolases]	0048505[5.61e-41]; 0047665[2.84e-05]
Eucgr.E03077.1.p	0045974,0046888,0047619,0053686	0045974["Winged helix" DNA-binding domain]; 0046888[Toll/Interleukin receptor TIR domain]; 0047619[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0045974[1.41e-16]; 0046888[5.1e-40]; 0047619[2.21e-35]; 0053686[1.78e-59]
Eucgr.E03091.1.p	0048505	0048505[L domain-like]	0048505[4.93e-41]
Eucgr.E03092.1.p	0046888,0053686	0046888[Toll/Interleukin receptor TIR domain]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0046888[8.37e-41]; 0053686[2.58e-62]
Eucgr.E03115.1.p	0048261,0053354	0048261[Terpenoid synthases]; 0053354[Terpenoid cyclases/Protein prenyltransferases]	0048261[5.47e-110]; 0053354[3.3e-64]
Eucgr.E03122.1.p	0035371,0035558,0040112	0035371[Protein kinase-like (PK-like)]; 0035558[Hairpin loop containing domain-like]; 0040112[alpha-D-mannose-specific plant lectins]	0035371[9.29e-67]; 0035558[0.00298]; 0040112[2.09e-28]
Eucgr.E03146.1.p	0047910,0040327	0047910["Winged helix" DNA-binding domain]; 0040327[S-adenosyl-L-methionine-dependent methyltransferases]	0047910[6.53e-22]; 0040327[1.08e-39]
Eucgr.E03159.1.p		-	-
Eucgr.E03161.1.p	0049318	0049318[Periplasmic binding protein-like II]	0049318[1.41e-19]
Eucgr.E03167.1.p	0038039	0038039[DNA-binding domain]	0038039[7.19e-24]
Eucgr.E03176.1.p		-	-
Eucgr.E03204.1.p	0045974,0046888,0053686	0045974["Winged helix" DNA-binding domain]; 0046888[Toll/Interleukin receptor TIR domain]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0045974[0.00163]; 0046888[3.01e-25]; 0053686[4.14e-39]
Eucgr.E03209.1.p	0046839,0040327	0046839["Winged helix" DNA-binding domain]; 0040327[S-adenosyl-L-methionine-dependent methyltransferases]	0046839[6.35e-27]; 0040327[1.61e-05]
Eucgr.E03212.1.p	0040327,0046839	0040327[S-adenosyl-L-methionine-dependent methyltransferases]; 0046839["Winged helix" DNA-binding domain]	0040327[5.23e-53]; 0046839[1.26e-26]
Eucgr.E03223.1.p		-	-
Eucgr.E03231.1.p	0053693	0053693[UDP-Glycosyltransferase/glycogen phosphorylase]	0053693[1.47e-97]
Eucgr.E03235.1.p	0053693	0053693[UDP-Glycosyltransferase/glycogen phosphorylase]	0053693[5.23e-100]
Eucgr.E03256.1.p		-	-
Eucgr.E03261.1.p		-	-
Eucgr.E03273.1.p	0044223,0043065	0044223[ACT-like]; 0043065[HLH, helix-loop-helix DNA-binding domain]	0044223[0.000275]; 0043065[2.75e-07]
Eucgr.E03282.1.p	0045974,0050521,0047619,0053686	0045974["Winged helix" DNA-binding domain]; 0050521[CSL zinc finger]; 0047619[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0045974[9.52e-11]; 0050521[0.00968]; 0047619[3.74e-42]; 0053686[1.8e-56]
Eucgr.E03300.1.p	0035371,0045804	0035371[Protein kinase-like (PK-like)]; 0045804[EGF/Laminin]	0035371[6.07e-54]; 0045804[9.43e-05]
Eucgr.E03306.1.p		-	-
Eucgr.E03310.1.p	0051642,0054395	0051642[TPR-like]; 0054395[TPR-like]	0051642[3.4e-06]; 0054395[0.000209]
Eucgr.E03330.1.p	0048505,0053686	0048505[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0048505[8.25e-50]; 0053686[3.34e-39]
Eucgr.E03348.1.p	0051810,0052542	0051810[PUA domain-like]; 0052542[Pseudouridine synthase]	0051810[1.99e-23]; 0052542[1.06e-69]
Eucgr.E03352.1.p	0046912	0046912[ARM repeat]	0046912[3.6e-07]
Eucgr.E03363.1.p	0052715	0052715[Kelch motif]	0052715[2.88e-46]
Eucgr.E03370.1.p		-	-
Eucgr.E03370.2.p		-	-
Eucgr.E03370.3.p		-	-
Eucgr.E03386.1.p		-	-
Eucgr.E03405.1.p	0048865,0046750	0048865[FAD/NAD(P)-binding domain]; 0046750[FAD/NAD(P)-binding domain]	0048865[1.56e-15]; 0046750[1.08e-07]
Eucgr.E03413.1.p	0053371	0053371[Cysteine proteinases]	0053371[3.6e-99]
Eucgr.E03418.1.p	0054879	0054879[FAD/NAD(P)-binding domain]	0054879[1.41e-53]
Eucgr.E03425.1.p	0036355	0036355[ArfGap/RecO-like zinc finger]	0036355[0.00112]
Eucgr.E03427.1.p	0037738	0037738[RNI-like]	0037738[1.26e-09]
Eucgr.E03433.1.p	0053605,0037738,0041352	0053605[Kix domain of CBP (creb binding protein)]; 0037738[RNI-like]; 0041352[F-box domain]	0053605[4.71e-05]; 0037738[6.28e-08]; 0041352[1.57e-13]
Eucgr.E03451.1.p		-	-
Eucgr.E03463.1.p		-	-
Eucgr.E03469.1.p		-	-
Eucgr.E03559.1.p		-	-
Eucgr.E03560.1.p		-	-
Eucgr.E03567.1.p		-	-
Eucgr.E03579.1.p	0052291,0050592	0052291[RING/U-box]; 0050592[RING/U-box]	0052291[2.35e-15]; 0050592[4.32e-13]
Eucgr.E03588.1.p		-	-
Eucgr.E03592.1.p	0053562,0045383	0053562[Myosin rod fragments]; 0045383[P-loop containing nucleoside triphosphate hydrolases]	0053562[0.000445]; 0045383[9.66e-116]
Eucgr.E03593.1.p		-	-
Eucgr.E03599.1.p		-	-
Eucgr.E03602.1.p	0053354	0053354[Terpenoid cyclases/Protein prenyltransferases]	0053354[1.33e-14]
Eucgr.E03611.1.p	0048648	0048648[HCP-like]	0048648[0.0012]
Eucgr.E03621.1.p	0035558,0038477,0040112	0035558[Hairpin loop containing domain-like]; 0038477[Protein kinase-like (PK-like)]; 0040112[alpha-D-mannose-specific plant lectins]	0035558[0.000471]; 0038477[5.66e-84]; 0040112[6.94e-32]
Eucgr.E03636.1.p		-	-
Eucgr.E03639.1.p	0038477,0040112	0038477[Protein kinase-like (PK-like)]; 0040112[alpha-D-mannose-specific plant lectins]	0038477[9.16e-81]; 0040112[6.02e-30]
Eucgr.E03645.1.p	0035371,0040112	0035371[Protein kinase-like (PK-like)]; 0040112[alpha-D-mannose-specific plant lectins]	0035371[1.48e-47]; 0040112[8.38e-28]
Eucgr.E03660.1.p	0040727,0035558	0040727[Protein kinase-like (PK-like)]; 0035558[Hairpin loop containing domain-like]	0040727[2.32e-43]; 0035558[1.73e-05]
Eucgr.E03669.1.p	0035558,0038477,0040112	0035558[Hairpin loop containing domain-like]; 0038477[Protein kinase-like (PK-like)]; 0040112[alpha-D-mannose-specific plant lectins]	0035558[0.000471]; 0038477[6.61e-80]; 0040112[9.55e-25]
Eucgr.E03684.1.p	0054912	0054912[Cytochrome P450]	0054912[7.73e-87]
Eucgr.E03684.2.p	0054912	0054912[Cytochrome P450]	0054912[3.01e-82]
Eucgr.E03691.1.p	0036696	0036696[LysM domain]	0036696[1.83e-07]
Eucgr.E03732.1.p	0040727	0040727[Protein kinase-like (PK-like)]	0040727[1.64e-33]
Eucgr.E03739.1.p	0035371	0035371[Protein kinase-like (PK-like)]	0035371[3.91e-85]
Eucgr.E03740.1.p	0035371	0035371[Protein kinase-like (PK-like)]	0035371[8.34e-62]
Eucgr.E03744.1.p	0035371	0035371[Protein kinase-like (PK-like)]	0035371[3.55e-84]
Eucgr.E03744.2.p	0035371	0035371[Protein kinase-like (PK-like)]	0035371[3.55e-84]
Eucgr.E03744.3.p	0035371	0035371[Protein kinase-like (PK-like)]	0035371[2.32e-83]
Eucgr.E03793.1.p	0051364	0051364[Nucleotide-diphospho-sugar transferases]	0051364[1.57e-40]
Eucgr.E03798.1.p	0047756,0051761	0047756[P-loop containing nucleoside triphosphate hydrolases]; 0051761[Concanavalin A-like lectins/glucanases]	0047756[6.22e-11]; 0051761[1.03e-16]
Eucgr.E03807.1.p	0050960,0037987,0046750	0050960[FAD/NAD(P)-binding domain]; 0037987[EF-hand]; 0046750[FAD/NAD(P)-binding domain]	0050960[2.05e-17]; 0037987[4.71e-06]; 0046750[6.73e-29]
Eucgr.E03807.2.p	0050960,0037987,0046750	0050960[FAD/NAD(P)-binding domain]; 0037987[EF-hand]; 0046750[FAD/NAD(P)-binding domain]	0050960[2.05e-17]; 0037987[4.41e-06]; 0046750[6.22e-29]
Eucgr.E03825.1.p		-	-
Eucgr.E03832.1.p	0037914	0037914[SMAD/FHA domain]	0037914[3.06e-27]
Eucgr.E03853.1.p	0043739,0049802	0043739[Tudor/PWWP/MBT]; 0049802[ARM repeat]	0043739[5.01e-06]; 0049802[7.68e-35]
Eucgr.E03853.2.p	0043739,0049802	0043739[Tudor/PWWP/MBT]; 0049802[ARM repeat]	0043739[2.63e-05]; 0049802[7.68e-35]
Eucgr.E03853.3.p	0043739,0049802	0043739[Tudor/PWWP/MBT]; 0049802[ARM repeat]	0043739[5.01e-06]; 0049802[9.51e-35]
Eucgr.E03864.1.p		-	-
Eucgr.E03870.1.p		-	-
Eucgr.E03877.1.p	0046837,0040327	0046837["Winged helix" DNA-binding domain]; 0040327[S-adenosyl-L-methionine-dependent methyltransferases]	0046837[1.9e-18]; 0040327[4.65e-06]
Eucgr.E03888.1.p	0042664	0042664[Holliday junction resolvase RusA]	0042664[0.00942]
Eucgr.E03894.1.p	0053649,0042598,0049471,0049473	0053649[HAD-like]; 0042598[Metal cation-transporting ATPase, ATP-binding domain N]; 0049471[Calcium ATPase, transduction domain A]; 0049473[Calcium ATPase, transmembrane domain M]	0053649[2.9e-19]; 0042598[8.17e-06]; 0049471[3.14e-17]; 0049473[1.44e-63]
Eucgr.E03909.1.p	0050060	0050060[Folate-binding domain]	0050060[2.51e-71]
Eucgr.E03919.1.p	0037137	0037137[Cystatin/monellin]	0037137[2.98e-29]
Eucgr.E03925.1.p		-	-
Eucgr.E03927.1.p	0046368	0046368[E set domains]	0046368[3.01e-67]
Eucgr.E03927.2.p	0046368	0046368[E set domains]	0046368[2.31e-58]
Eucgr.E03934.1.p		-	-
Eucgr.E03942.1.p	0048505,0037803,0045099	0048505[L domain-like]; 0037803[Protein kinase-like (PK-like)]; 0045099[RNI-like]	0048505[8.16e-55]; 0037803[3.62e-11]; 0045099[8.63e-46]
Eucgr.E03954.1.p		-	-
Eucgr.E03955.1.p		-	-
Eucgr.E03955.2.p		-	-
Eucgr.E03955.3.p		-	-
Eucgr.E03966.1.p		-	-
Eucgr.E03979.1.p		-	-
Eucgr.E03980.1.p	0050087	0050087[RING/U-box]	0050087[2.5e-14]
Eucgr.E03981.1.p		-	-
Eucgr.E03985.1.p		-	-
Eucgr.E03989.1.p	0048263	0048263[DPP6 N-terminal domain-like]	0048263[0.00824]
Eucgr.E03992.1.p		-	-
Eucgr.E03996.1.p	0035371	0035371[Protein kinase-like (PK-like)]	0035371[1.62e-56]
Eucgr.E04000.1.p	0046211	0046211[PLP-binding barrel]	0046211[1.19e-74]
Eucgr.E04008.1.p		-	-
Eucgr.E04023.1.p		-	-
Eucgr.E04023.2.p		-	-
Eucgr.E04027.1.p		-	-
Eucgr.E04038.1.p		-	-
Eucgr.E04046.1.p		-	-
Eucgr.E04049.1.p		-	-
Eucgr.E04054.1.p	0053698	0053698[Homeodomain-like]	0053698[7.18e-05]
Eucgr.E04054.2.p	0053698	0053698[Homeodomain-like]	0053698[7.18e-05]
Eucgr.E04061.1.p		-	-
Eucgr.E04110.1.p	0046648	0046648[Carbohydrate-binding domain]	0046648[0.00523]
Eucgr.E04125.1.p	0035371	0035371[Protein kinase-like (PK-like)]	0035371[4.86e-39]
Eucgr.E04152.1.p	0038477	0038477[Protein kinase-like (PK-like)]	0038477[1.6e-83]
Eucgr.E04160.1.p	0044407	0044407[Protein kinase-like (PK-like)]	0044407[2.29e-52]
Eucgr.E04173.1.p		-	-
Eucgr.E04181.1.p		-	-
Eucgr.E04194.1.p	0043269	0043269[Protein kinase-like (PK-like)]	0043269[1.08e-27]
Eucgr.E04199.1.p	0040727	0040727[Protein kinase-like (PK-like)]	0040727[2.16e-60]
Eucgr.E04203.1.p		-	-
Eucgr.E04206.1.p	0045974,0046888,0048505,0053686	0045974["Winged helix" DNA-binding domain]; 0046888[Toll/Interleukin receptor TIR domain]; 0048505[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0045974[1.28e-07]; 0046888[2.88e-21]; 0048505[4.34e-49]; 0053686[1.36e-48]
Eucgr.E04238.1.p	0043898	0043898[Acid proteases]	0043898[5.63e-92]
Eucgr.E04240.1.p		-	-
Eucgr.E04246.1.p	0035101	0035101[HLH, helix-loop-helix DNA-binding domain]	0035101[6.66e-15]
Eucgr.E04250.1.p	0053730	0053730[ParB/Sulfiredoxin]	0053730[1.73e-28]
Eucgr.E04257.1.p	0049488	0049488[Ankyrin repeat]	0049488[5.2e-06]
Eucgr.E04266.1.p	0048505,0041848	0048505[L domain-like]; 0041848[L domain-like]	0048505[9.07e-38]; 0041848[9.69e-54]
Eucgr.E04275.1.p		-	-
Eucgr.E04282.1.p	0041848	0041848[L domain-like]	0041848[1.7e-39]
Eucgr.E04292.1.p		-	-
Eucgr.E04293.1.p	0038852,0038303	0038852[Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor]; 0038303[SNARE-like]	0038852[5.36e-06]; 0038303[1.56e-06]
Eucgr.E04313.1.p	0045110	0045110[beta-beta-alpha zinc fingers]	0045110[0.00034]
Eucgr.E04313.2.p	0045110	0045110[beta-beta-alpha zinc fingers]	0045110[0.000306]
Eucgr.E04313.3.p	0045110	0045110[beta-beta-alpha zinc fingers]	0045110[0.000306]
Eucgr.E04313.4.p	0045110	0045110[beta-beta-alpha zinc fingers]	0045110[0.000306]
Eucgr.E04325.1.p		-	-
Eucgr.E04339.1.p		-	-
Eucgr.E04341.1.p	0041295,0050384	0041295[Cysteine proteinases]; 0050384[DUSP-like]	0041295[1.39e-79]; 0050384[1.31e-12]
Eucgr.E04346.1.p		-	-
Eucgr.E04352.1.p	0047741	0047741[Galactose oxidase, central domain]	0047741[0.00353]
Eucgr.E04362.1.p	0038020	0038020[Nucleotide-diphospho-sugar transferases]	0038020[2.45e-12]
Eucgr.E04363.1.p	0049471,0048396,0049473,0049472	0049471[Calcium ATPase, transduction domain A]; 0048396[HAD-like]; 0049473[Calcium ATPase, transmembrane domain M]; 0049472[Metal cation-transporting ATPase, ATP-binding domain N]	0049471[1.7e-05]; 0048396[1.59e-23]; 0049473[3.4e-16]; 0049472[1.61e-12]
Eucgr.E04372.1.p	0035371,0041848	0035371[Protein kinase-like (PK-like)]; 0041848[L domain-like]	0035371[1.75e-64]; 0041848[7.78e-39]
Eucgr.K01948.1.p		-	-
Eucgr.K01960.1.p	0052585,0052584,0052583	0052585[(Trans)glycosidases]; 0052584[Glycosyl hydrolase domain]; 0052583[Galactose mutarotase-like]	0052585[6.74e-81]; 0052584[3.74e-17]; 0052583[8.79e-39]
Eucgr.K01968.1.p		-	-
Eucgr.K01972.1.p	0046805	0046805[Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin]	0046805[2.34e-17]
Eucgr.L00405.1.p	0049923	0049923[Phosphoenolpyruvate/pyruvate domain]	0049923[9.94e-09]
Eucgr.L00407.1.p	0035371,0047362	0035371[Protein kinase-like (PK-like)]; 0047362[Growth factor receptor domain]	0035371[8.23e-77]; 0047362[9.57e-07]
Eucgr.L00408.1.p	0050473,0050474	0050473[FYVE/PHD zinc finger]; 0050474[FYVE/PHD zinc finger]	0050473[5.09e-11]; 0050474[4.65e-12]
Eucgr.L00411.1.p	0045110	0045110[beta-beta-alpha zinc fingers]	0045110[0.00228]
Eucgr.L00412.1.p	0035371,0047362	0035371[Protein kinase-like (PK-like)]; 0047362[Growth factor receptor domain]	0035371[1.35e-79]; 0047362[6.28e-09]
Eucgr.L00413.1.p	0043098	0043098[POZ domain]	0043098[1.15e-15]
Eucgr.L00414.1.p		-	-
Eucgr.L00416.1.p		-	-
Eucgr.L00417.1.p	0051184	0051184[EF-hand]	0051184[1.17e-30]
Eucgr.L00418.1.p		-	-
Eucgr.L00420.1.p	0043098	0043098[POZ domain]	0043098[2.01e-22]
Eucgr.L00421.1.p		-	-
Eucgr.L00423.1.p		-	-
Eucgr.L00425.1.p	0035371,0041848	0035371[Protein kinase-like (PK-like)]; 0041848[L domain-like]	0035371[2.7e-67]; 0041848[7.25e-58]
Eucgr.L00426.1.p		-	-
Eucgr.L00426.2.p		-	-
Eucgr.L00426.3.p		-	-
Eucgr.L00426.4.p		-	-
Eucgr.L00427.1.p	0036450	0036450[Pseudouridine synthase]	0036450[3.16e-43]
Eucgr.L00429.1.p		-	-
Eucgr.L00588.1.p	0043898	0043898[Acid proteases]	0043898[9.1e-61]
Eucgr.L00590.1.p	0043898	0043898[Acid proteases]	0043898[1.52e-60]
Eucgr.L00593.1.p	0043898	0043898[Acid proteases]	0043898[1.13e-56]
Eucgr.L00594.1.p	0043898	0043898[Acid proteases]	0043898[2.1e-22]
Eucgr.L00595.1.p		-	-
Eucgr.L00597.1.p	0035558,0040112	0035558[Hairpin loop containing domain-like]; 0040112[alpha-D-mannose-specific plant lectins]	0035558[0.00235]; 0040112[7.98e-30]
Eucgr.L00599.1.p	0054538	0054538[UDP-Glycosyltransferase/glycogen phosphorylase]	0054538[8.48e-148]
Eucgr.L00600.1.p	0051363,0051364	0051363[Trimeric LpxA-like enzymes]; 0051364[Nucleotide-diphospho-sugar transferases]	0051363[2.08e-21]; 0051364[4.41e-78]
Eucgr.L00601.1.p	0043663	0043663[PR-1-like]	0043663[9.07e-05]
Eucgr.L00603.1.p	0048588	0048588[Mitochondrial carrier]	0048588[1.83e-20]
Eucgr.L00604.1.p	0043898	0043898[Acid proteases]	0043898[8.02e-65]
Eucgr.L00605.1.p	0043898	0043898[Acid proteases]	0043898[9.1e-63]
Eucgr.L00606.1.p	0048588	0048588[Mitochondrial carrier]	0048588[2.62e-22]
Eucgr.L00613.1.p	0037738,0048505,0041848	0037738[RNI-like]; 0048505[L domain-like]; 0041848[L domain-like]	0037738[3.37e-38]; 0048505[1.02e-40]; 0041848[2.89e-48]
Eucgr.L00614.1.p	0046497	0046497[(Trans)glycosidases]	0046497[7.21e-28]
Eucgr.L00615.1.p	0046256,0036855	0046256[(Trans)glycosidases]; 0036855[Chitinase insertion domain]	0046256[3.9e-71]; 0036855[6.81e-14]
Eucgr.L00616.1.p		-	-
Eucgr.L00617.1.p	0050397,0052014	0050397[L domain-like]; 0052014[RNI-like]	0050397[2.89e-20]; 0052014[7.53e-56]
Eucgr.L00618.1.p	0038299,0045803,0038300	0038299[Cupredoxins]; 0045803[Cupredoxins]; 0038300[Cupredoxins]	0038299[1.42e-35]; 0045803[5.88e-36]; 0038300[3.02e-40]
